ACT Symbol,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
AM,Antero Midstream Corporation Common Stock,N,AM,N,100,N,AM
AMBC,"Ambac Financial Group, Inc. Common Stock",N,AMBC,N,100,N,AMBC
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,N,AMBP,N,100,N,AMBP
AMBP.W,"Ardagh Metal Packaging S.A. Warrants, each exercisable for one Share at an exercise price of $11.50 per share",N,AMBP.WS,N,100,N,AMBP+
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",N,AMC,N,100,N,AMC
AMCR,Amcor plc Ordinary Shares,N,AMCR,N,100,N,AMCR
AME,"AMETEK, Inc.",N,AME,N,100,N,AME
AMG,"Affiliated Managers Group, Inc. Common Stock",N,AMG,N,100,N,AMG
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,N,AMH,N,100,N,AMH
AMH$G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,N,AMHpG,N,100,N,AMH-G
AMH$H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,N,AMHpH,N,100,N,AMH-H
AMN,AMN Healthcare Services Inc,N,AMN,N,100,N,AMN
AMP,"Ameriprise Financial, Inc. Common Stock",N,AMP,N,100,N,AMP
AMPS,"Altus Power, Inc. Class A Common Stock",N,AMPS,N,100,N,AMPS
AMPX,"Amprius Technologies, Inc. Common Stock",N,AMPX,N,100,N,AMPX
AMPX.W,"Amprius Technologies, Inc. Warrants to purchase one share of Common Stock at an exercise price of $11.50 per share",N,AMPX.WS,N,100,N,AMPX+
AMPY,Amplify Energy Corp. Common Stock,N,AMPY,N,100,N,AMPY
AMR,"Alpha Metallurgical Resources, Inc. Common Stock",N,AMR,N,100,N,AMR
AMRC,"Ameresco, Inc. Class A Common Stock",N,AMRC,N,100,N,AMRC
AMT,American Tower Corporation (REIT) Common Stock,N,AMT,N,100,N,AMT
AMTB,Amerant Bancorp Inc. Class A Common Stock,N,AMTB,N,100,N,AMTB
AMTD,"AMTD IDEA Group American Depositary Shares, each representing six (6) Class A Ordinary Shares",N,AMTD,N,100,N,AMTD
AMWL,American Well Corporation Class A Common Stock,N,AMWL,N,100,N,AMWL
AMX,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",N,AMX,N,100,N,AMX
AN,"AutoNation, Inc. Common Stock",N,AN,N,100,N,AN
ANET,"Arista Networks, Inc. Common Stock",N,ANET,N,100,N,ANET
ANF,Abercrombie & Fitch Company Common Stock,N,ANF,N,100,N,ANF
