,pair,coint_score,pvalue
1166,"('BLK', 'CRM')",-3.6013626170970676,0.02440664449541817
3164,"('ENPH', 'GNRC')",-3.6012548789295042,0.024414140714138655
3737,"('ESS', 'VRTX')",-3.600983471027033,0.024433033567371764
5493,"('SNA', 'TRMB')",-3.6009709754671233,0.02443390369370829
1518,"('CARR', 'FCX')",-3.600539122609908,0.024463992125929385
388,"('ALGN', 'TECH')",-3.6004968649997022,0.024466938050922264
3549,"('ERIE', 'JBHT')",-3.6003937245184097,0.02447412961726027
5078,"('MOH', 'TSLA')",-3.6000295263922886,0.024499538256417878
3217,"('ENPH', 'NI')",-3.599938354072554,0.024505902541542644
1998,"('CVX', 'CCI')",-3.599936882960754,0.024506005244209792
1851,"('CNC', 'LUV')",-3.599637609189358,0.02452690615112922
3668,"('ERIE', 'TXN')",-3.599449983294529,0.024540017547346152
1502,"('CAH', 'TXT')",-3.5993743420868887,0.02454530510383087
1474,"('CPB', 'DRI')",-3.599110180105012,0.024563778557326374
4857,"('L', 'NVDA')",-3.5990795171757446,0.02456592366264614
1744,"('CNC', 'LRCX')",-3.598946013515414,0.02457526514257713
1197,"('BK', 'BSX')",-3.598890546390134,0.024579147172880622
4310,"('HES', 'TJX')",-3.598799980352235,0.02458548684048857
4714,"('JNPR', 'MRK')",-3.598282048995104,0.02462176938428963
4500,"('IPG', 'RMD')",-3.5982096205046843,0.02462684688035502
3303,"('ETR', 'LW')",-3.598052985459355,0.024637830643974797
4926,"('MTCH', 'MCK')",-3.5979852910143175,0.02464257890754742
224,"('AOS', 'TKO')",-3.5979646070217335,0.024644029893656372
5426,"('RF', 'RMD')",-3.5979419308216385,0.02464562071814408
3616,"('ERIE', 'PLTR')",-3.5977876780406577,0.024656444505957397
5594,"('TSCO', 'DIS')",-3.5977838195238068,0.024656715307362784
4184,"('GL', 'ON')",-3.597681025224686,0.024663930640204428
3969,"('FE', 'URI')",-3.5976525342808756,0.024665930797378333
3791,"('EXPE', 'MOH')",-3.5974974652064593,0.02467681960390369
5156,"('NEM', 'VTR')",-3.5974582669079314,0.02467957272805838
2862,"('DPZ', 'PNW')",-3.5973895190527836,0.024684401928594203
2571,"('CSGP', 'STE')",-3.597246956701539,0.024694418832414404
1255,"('AVGO', 'CCI')",-3.5972088973007423,0.024697093604685968
5474,"('SW', 'WAB')",-3.5969797859671084,0.024713200571011416
4715,"('JNPR', 'NI')",-3.5966350388422783,0.024737454017626313
447,"('LNT', 'PGR')",-3.5966301606486772,0.02473779735257656
5173,"('NSC', 'SHW')",-3.5966090539668105,0.024739282921425597
448,"('LNT', 'DGX')",-3.5965281406653524,0.02474497862089602
1821,"('CNC', 'PRU')",-3.5965258236246,0.024745141740115037
3859,"('FDX', 'HAL')",-3.5963866357253242,0.024754942241349928
5327,"('PFE', 'QCOM')",-3.596345130020591,0.024757865389353116
3632,"('ERIE', 'PEG')",-3.5962299004103433,0.024765982296039622
2353,"('CTAS', 'NUE')",-3.5960116862668685,0.024781359836363204
1635,"('CNC', 'DELL')",-3.595897389182793,0.024789417629796518
5432,"('RMD', 'SRE')",-3.595833203615733,0.024793943617443224
2045,"('CVX', 'FDS')",-3.5958192805300313,0.024794925485321972
4864,"('L', 'PARA')",-3.5957991023676463,0.024796348526016046
1332,"('BXP', 'OMC')",-3.5956703919900503,0.024805427327457424
1691,"('CNC', 'GPN')",-3.59531315099607,0.024830640928426295
5286,"('PARA', 'WM')",-3.595251382477267,0.02483500270818388
2325,"('CHD', 'HES')",-3.594537619962865,0.02488545291428302
709,"('APA', 'TMO')",-3.594482837740512,0.024889328681015677
